"PVWatts: Hourly PV Performance Data"
"Requested Location:","sioux falls"
"Location:","Lat, Lon: 43.49, -96.74"
"Lat (deg N):","43.49"
"Long (deg W):","96.74"
"Elev (m):","447.35998535156"
"DC System Size (kW):","500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.104"
"Capacity Factor (%)","15.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-13","3","0","-13","0","0"
"1","1","1","0","0","-13","3","0","-13","0","0"
"1","1","2","0","0","-13","3","0","-13","0","0"
"1","1","3","0","0","-13","3","0","-13","0","0"
"1","1","4","0","0","-13","3","0","-13","0","0"
"1","1","5","0","0","-13","3","0","-13","0","0"
"1","1","6","0","0","-13","3","0","-13","0","0"
"1","1","7","0","0","-12","3","0","-12","0","0"
"1","1","8","407","21","-11","4","145.678","-9.456","61235.137","57443.48"
"1","1","9","699","45","-9","4","373.767","-2.009","169289.219","162628.078"
"1","1","10","43","122","-6","4","156.963","-3.367","76025.227","71892.094"
"1","1","11","850","70","-3","4","660.114","10.372","298518.031","287284.969"
"1","1","12","857","75","-1","4","696.459","14.256","310575.938","298852.906"
"1","1","13","840","74","0","4","659.437","14.513","292870.5","281863.156"
"1","1","14","788","66","0","3","548.035","13.492","241513.422","232450.156"
"1","1","15","670","51","-2","2","370.073","8.312","160920.688","154512.797"
"1","1","16","369","24","-5","1","142.386","-0.596","58543.496","54812.234"
"1","1","17","0","0","-6","1","0","-6","0","0"
"1","1","18","0","0","-6","1","0","-6","0","0"
"1","1","19","0","0","-7","1","0","-7","0","0"
"1","1","20","0","0","-7","1","0","-7","0","0"
"1","1","21","0","0","-7","1","0","-7","0","0"
"1","1","22","0","0","-8","1","0","-8","0","0"
"1","1","23","0","0","-9","1","0","-9","0","0"
"1","2","0","0","0","-10","1","0","-10","0","0"
"1","2","1","0","0","-10","1","0","-10","0","0"
"1","2","2","0","0","-10","1","0","-10","0","0"
"1","2","3","0","0","-10","1","0","-10","0","0"
"1","2","4","0","0","-11","1","0","-11","0","0"
"1","2","5","0","0","-11","1","0","-11","0","0"
"1","2","6","0","0","-11","1","0","-11","0","0"
"1","2","7","0","0","-10","2","0","-10","0","0"
"1","2","8","31","23","-8","3","35.857","-8.669","16968.885","14102.064"
"1","2","9","108","80","-6","4","141.528","-4.472","67399.633","63467.621"
"1","2","10","132","129","-4","4","224.891","-0.36","106927.695","102028.57"
"1","2","11","849","73","-2","4","663.452","11.589","298467.563","287236.5"
"1","2","12","865","77","-1","4","705.251","14.456","314254.531","302379.906"
"1","2","13","538","111","-1","3","502.121","11.531","226546.797","218013.172"
