Wall time,Step,Value
1686391629.8749337,10079,-251.8257293701172
1686391859.6445866,10175,-240.22642517089844
1686392094.696587,10271,-304.4389953613281
1686392332.612729,10367,-290.36029052734375
1686392563.9628336,10463,-311.4823303222656
1686392799.3332467,10559,-308.53857421875
1686393036.950274,10655,-281.5654296875
1686393267.6977787,10751,-283.770751953125
1686393503.5832884,10847,-305.8930358886719
1686393741.8428512,10943,-279.5566101074219
1686393974.0971184,11039,-317.47821044921875
1686394204.970298,11135,-271.07562255859375
1686394445.7300363,11231,-288.09649658203125
1686394683.3200908,11327,-305.5525817871094
1686394914.3341203,11423,-281.1294250488281
1686395150.3238182,11519,-324.5916748046875
1686395382.158766,11615,-332.9441833496094
1686395625.938189,11711,-306.6068420410156
1686395874.1329505,11807,-322.3006286621094
1686396107.7309961,11903,-273.6123962402344
1686396345.934398,11999,-304.3726501464844
1686396577.595087,12095,-282.693603515625
1686396808.803495,12191,-280.4286193847656
1686397039.8677301,12287,-284.0993347167969
1686397275.4943006,12383,-303.8837585449219
1686397513.385687,12479,-288.44586181640625
1686397750.4188585,12575,-271.4928894042969
1686397981.6545866,12671,-246.27792358398438
1686398215.9930348,12767,-272.11627197265625
1686398446.2485573,12863,-259.3783264160156
1686398681.415492,12959,-322.87530517578125
1686398914.1411576,13055,-242.80267333984375
1686399151.3606715,13151,-278.1792297363281
1686399391.08054,13247,-271.1341247558594
1686399632.3840945,13343,-321.60223388671875
1686399881.194072,13439,-267.6322021484375
1686400127.9387722,13535,-254.24154663085938
1686400365.9692495,13631,-284.05181884765625
1686400604.5257304,13727,-304.31689453125
1686400833.6454728,13823,-300.54351806640625
1686401072.738511,13919,-269.86328125
1686401309.8503296,14015,-225.55526733398438
1686401551.0712116,14111,-234.2950439453125
1686401791.1915154,14207,-230.6880340576172
1686402025.930058,14303,-219.10304260253906
1686402264.5130866,14399,-202.22036743164062
1686402498.1397986,14495,-258.5240478515625
1686402739.303647,14591,-265.5262145996094
1686402976.4691527,14687,-256.1761779785156
1686403213.643869,14783,-255.41871643066406
1686403443.9718103,14879,-254.60252380371094
1686403683.5095162,14975,-237.39414978027344
1686403920.5894277,15071,-233.66819763183594
1686404153.6234956,15167,-236.33572387695312
1686404390.5020952,15263,-244.6433868408203
1686404621.7252429,15359,-260.17578125
1686404860.1972055,15455,-227.0404510498047
1686405089.4010491,15551,-246.43951416015625
1686405327.1503754,15647,-231.607421875
1686405564.981943,15743,-236.93121337890625
1686405804.4069262,15839,-246.48776245117188
1686406046.2416794,15935,-231.06863403320312
1686406277.1193874,16031,-252.4311065673828
1686406509.7863746,16127,-258.98114013671875
1686406741.3105752,16223,-229.76097106933594
1686406975.819823,16319,-260.7008361816406
1686407205.30492,16415,-249.3591766357422
1686407438.1238763,16511,-246.96568298339844
1686407675.4686692,16607,-252.3861541748047
1686407912.0783694,16703,-189.63905334472656
1686408150.913959,16799,-241.9727020263672
1686408389.4542274,16895,-229.2328338623047
1686408630.6646109,16991,-210.3257293701172
1686408860.5852542,17087,-210.92222595214844
1686409098.9144213,17183,-233.81288146972656
1686409335.433501,17279,-213.9598846435547
1686409566.531327,17375,-225.67098999023438
1686409799.4099917,17471,-226.10450744628906
1686410029.6349046,17567,-210.40061950683594
1686410267.0845084,17663,-212.57379150390625
1686410495.7741866,17759,-212.71038818359375
1686410727.086354,17855,-224.58351135253906
1686410959.7626977,17951,-261.3361511230469
1686411196.0747974,18047,-310.94720458984375
1686411427.2176669,18143,-304.3604431152344
1686411667.1930568,18239,-308.1962585449219
1686411912.0578783,18335,-265.28582763671875
1686412164.2115948,18431,-253.6903533935547
1686412406.9842107,18527,-308.4187316894531
1686412656.5627716,18623,-290.30230712890625
1686412899.674729,18719,-270.1341857910156
1686413144.3993578,18815,-265.2269287109375
1686413382.380396,18911,-243.8141326904297
1686413625.8181555,19007,-258.5495300292969
1686413869.5573218,19103,-281.30694580078125
1686414111.3358686,19199,-268.6157531738281
1686414351.5736582,19295,-202.8056640625
1686414596.1227937,19391,-175.96456909179688
1686414829.840734,19487,-183.00265502929688
1686415071.2185466,19583,-181.83473205566406
1686415306.183352,19679,-148.27694702148438
1686415536.7717383,19775,-163.9334716796875
1686415778.4391606,19871,-155.23797607421875
1686416013.2268558,19967,-193.71566772460938
